task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1048	d0/bdcba0	46284	AncestralAllele (13)	COMPLETED	0	2024-06-12 23:23:45.743	1.8s	909ms	103.7%	11.2 MB	20 MB	7 MB	15.8 KB
1049	e9/50a4c9	46307	AncestralAllele (14)	COMPLETED	0	2024-06-12 23:23:47.510	1.8s	962ms	104.8%	10.9 MB	19.6 MB	7 MB	15.8 KB
1050	1f/70e1c3	46314	AncestralAllele (15)	COMPLETED	0	2024-06-12 23:23:47.547	1.8s	943ms	104.9%	11.1 MB	19.8 MB	7 MB	15.8 KB
1051	e5/0a21c3	46344	AncestralAllele (16)	COMPLETED	0	2024-06-12 23:23:49.337	1.9s	1s	107.3%	12.6 MB	21.5 MB	8.4 MB	14.8 KB
1052	36/a120f2	46354	AncestralAllele (17)	COMPLETED	0	2024-06-12 23:23:49.398	2s	1s	106.8%	11.5 MB	20.3 MB	8.4 MB	14.8 KB
1053	ff/df84ba	46381	AncestralAllele (18)	COMPLETED	0	2024-06-12 23:23:51.221	1.9s	1s	102.4%	11.8 MB	20.4 MB	8.4 MB	14.8 KB
1054	64/192fa3	46401	AncestralAllele (19)	COMPLETED	0	2024-06-12 23:23:51.370	1.8s	967ms	103.6%	11.8 MB	20.6 MB	8.4 MB	14.8 KB
1055	67/e34a54	46422	AncestralAllele (20)	COMPLETED	0	2024-06-12 23:23:53.111	2s	1.1s	104.5%	11.8 MB	20.7 MB	7.8 MB	14.7 KB
1056	9c/7902e6	46438	AncestralAllele (21)	COMPLETED	0	2024-06-12 23:23:53.183	2s	1s	102.8%	11.1 MB	19.9 MB	7.8 MB	14.7 KB
1057	31/2e3df6	46469	AncestralAllele (22)	COMPLETED	0	2024-06-12 23:23:55.092	1.8s	913ms	104.0%	13.8 MB	22.4 MB	6.9 MB	14.6 KB
1058	75/294218	46487	AncestralAllele (23)	COMPLETED	0	2024-06-12 23:23:55.197	1.9s	926ms	103.4%	11.4 MB	19.8 MB	8.4 MB	14.8 KB
1059	a9/ebc226	46506	AncestralAllele (24)	COMPLETED	0	2024-06-12 23:23:56.881	2.2s	1.3s	116.8%	77.6 MB	94 MB	7.8 MB	14.7 KB
1060	06/b3e93e	46526	AncestralAllele (25)	COMPLETED	0	2024-06-12 23:23:57.075	2.1s	1.2s	116.8%	82.1 MB	98.2 MB	6.9 MB	14.6 KB
1061	a5/3fc2a5	46546	AncestralAllele (26)	COMPLETED	0	2024-06-12 23:23:59.109	1.9s	966ms	103.9%	10.8 MB	19.6 MB	6.9 MB	14.7 KB
1062	1c/1233bf	46555	AncestralAllele (27)	COMPLETED	0	2024-06-12 23:23:59.166	1.9s	923ms	105.1%	12.4 MB	21.3 MB	6.9 MB	15 KB
1063	7b/27cac3	46584	AncestralAllele (28)	COMPLETED	0	2024-06-12 23:24:00.996	1.9s	959ms	105.7%	11.5 MB	20.2 MB	7.8 MB	14.7 KB
1064	06/1cbab4	46591	AncestralAllele (29)	COMPLETED	0	2024-06-12 23:24:01.035	1.9s	909ms	103.4%	12.4 MB	21.4 MB	6.9 MB	14.9 KB
1065	de/ff3d27	46623	AncestralAllele (30)	COMPLETED	0	2024-06-12 23:24:02.878	1.9s	973ms	104.2%	11.8 MB	20.5 MB	7.8 MB	14.7 KB
1066	83/d3c84e	46629	AncestralAllele (31)	COMPLETED	0	2024-06-12 23:24:02.915	1.9s	942ms	103.8%	11.1 MB	19.9 MB	7.2 MB	14.4 KB
1067	4a/be0aef	46661	AncestralAllele (32)	COMPLETED	0	2024-06-12 23:24:04.772	2s	1s	106.0%	11.5 MB	20.2 MB	7.7 MB	15.1 KB
1068	ee/d21c40	46663	AncestralAllele (33)	COMPLETED	0	2024-06-12 23:24:04.791	2s	975ms	103.2%	11.4 MB	20.2 MB	7.7 MB	15 KB
